,,,,,,,,,,,,
Theme,Subtheme,Set #,Set Name,Age,Piece Count,Retirement Date,LEGO.com Link,,,,,"Notes: (Exclusivity, release, etc.)"
Icons,Dune,10327,Dune Atreides Royal Ornithopter,18+,1369,"Jul 31, 2026",US,CA,UK,AU,MX,
Icons,Fauna Collection,10331,Kingfisher Bird,18+,834,"Jul 31, 2026",US,CA,UK,AU,MX,
Icons,-,10334,Retro Radio,18+,906,"Jul 31, 2026",US,CA,UK,AU,MX,
Icons,Transformers,10338,Transformers: Bumblebee,18+,950,"Jul 31, 2026",US,CA,UK,AU,MX,
Icons,Gardens of the World,10359,Fountain Garden,18+,1302,"Jul 31, 2026",US,CA,UK,AU,MX,
Icons,-,10362,French Café,18+,1101,"Jul 31, 2026",US,CA,UK,AU,MX,
Icons,Botanical Collection,10309,Succulents,18+,771,"Dec 31, 2026",US,CA,UK,AU,MX,
Icons,Gardens of the World,10315,Tranquil Garden,18+,1363,"Dec 31, 2026",US,CA,UK,AU,MX,
Icons,Modular Building,10326,Natural History Museum,18+,4014,"Dec 31, 2026",US,CA,UK,AU,MX,
Icons,-,10335,The Endurance,18+,3011,"Dec 31, 2026",US,CA,UK,AU,MX,
Icons,-,10337,Lamborghini Countach 5000 Quattrovalvole,18+,1506,"Dec 31, 2026",US,CA,UK,AU,MX,
Icons,Botanical Collection,10340,Wreath,18+,1194,"Dec 31, 2026",US,CA,UK,AU,MX,
Icons,Space,10341,NASA: Artemis Space Launch System,18+,3601,"Dec 31, 2026",US,CA,UK,AU,MX,
Icons,Book Nook,10351,Sherlock Holmes: Book Nook,,,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Barnes and Noble
Icons,Formula 1,10353,Williams Racing FW14B & Nigel Mansell,18+,799,"Dec 31, 2026",US,CA,UK,AU,MX,
Icons,-,10363,Leonardo da Vinci's Flying Machine,18+,493,"Dec 31, 2026",US,CA,UK,AU,MX,
Icons,Botanical Collection,10370,Poinsettia,18+,608,"Dec 31, 2026",US,CA,UK,AU,MX,
Icons,- ,40516,Everyone is Awesome,18+,346,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Icons,- ,10307,Eiffel Tower,18+,10001,"Jul 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Icons,Lord of the Rings,10354,The Lord of the Rings: The Shire,18+,2017,"Jul 31, 2027",US,CA,UK,AU,MX,
Icons,-,10357,Shelby Cobra 427 S/C,18+,1241,"Jul 31, 2027",US,CA,UK,AU,MX,
Icons,Space,10360,Shuttle Carrier Aircraft,18+,2417,"Jul 31, 2027",US,CA,UK,AU,MX,
Icons,Holiday,10361,Winter Express Train,18+,956,"Jul 31, 2027",US,CA,UK,AU,MX,
Icons,-,10366,Tropical Aquarium,18+,4154,"Jul 31, 2027",US,CA,UK,AU,MX,
Icons,Lord of the Rings,10367,The Lord of the Rings: Balrog Book Nook,18+,1201,"Jul 31, 2027",US,CA,UK,AU,MX,
Icons,Botanical Collection,10281,Bonsai Tree,18+,878,"Dec 31, 2027",US,CA,UK,AU,MX,
Icons,- ,10295,Porsche 911,18+,1458,"Dec 31, 2027",US,CA,UK,AU,MX,
Icons,- ,10300,Back to the Future Time Machine,18+,1872,"Dec 31, 2027",US,CA,UK,AU,MX,(DE/UK) Exclusive to Smyths
Icons,Botanical Collection,10311,Orchid,18+,608,"Dec 31, 2027",US,CA,UK,AU,MX,
Icons,Botanical Collection,10313,Wildflower Bouquet,18+,939,"Dec 31, 2027",US,CA,UK,AU,MX,
Icons,Lord of the Rings,10316,The Lord of the Rings: Rivendell,18+,6167,"Dec 31, 2027",US,CA,UK,AU,MX,
Icons,- ,10318,Concorde,18+,2083,"Dec 31, 2027",US,CA,UK,AU,MX,
Icons,Botanical Collection,10328,Bouquet of Roses,18+,822,"Dec 31, 2027",US,CA,UK,AU,MX,
Icons,Botanical Collection,10329,Tiny Plants,18+,758,"Dec 31, 2027",US,CA,UK,AU,MX,
Icons,Formula 1,10330,McLaren MP4/4 & Ayrton Senna,18+,693,"Dec 31, 2027",US,CA,UK,AU,MX,
Icons,Lord of the Rings,10333,The Lord Of The Rings: Barad-dûr,18+,5471,"Dec 31, 2027",US,CA,UK,AU,MX,
Icons,Botanical Collection,10368,Chrysanthemum,18+,278,"Dec 31, 2027",US,CA,UK,AU,MX,
Icons,Botanical Collection,10369,Plum Blossom,18+,327,"Dec 31, 2027",US,CA,UK,AU,MX,
Icons,- ,10294,Titanic,18+,9090,"Dec 31, 2028",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Icons,Modular Building,10350,Tudor Corner,18,3266,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,The Simpsons,10352,The Simpsons: Krusty Burger,18+,1635,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,Star Trek,10356,Star Trek: USS Enterprise-D,18+,3600,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,Transformers,10358,Transformers: Soundwave,18+,1502,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,Pirates of the Caribbean,10365,Captain Jack Sparrow's Pirate Ship,18+,2861,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,-,10375,How to Train Your Dragon: Toothless,18+,784,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,Stranger Things,11370,Stranger Things: The Creel House,18+,2593,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,Modular Building,11371,Shopping Street,18+,3456,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,Gardens of the World,11372,Autumn Cottage Garden,18+,1102,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,Formula 1,11375,Ferrari F2004 & Michael Schumacher,18+,735,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,-,11376,Ford Model T,18+,1060,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,-,11378,Douglas DC-3 PAN AM Airliner,18+,1903,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,-,11389,Project Hail Mary,18+,830,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,Lord of the Rings,11373,The Lord of the Rings: Sauron's Helmet,18+,538,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,Lord of the Rings,11377,The Lord of the Rings: Minas Tirith,18+,8277,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,-,11380,Road Bike,18+,1015,"Dec 31, 2028",US,CA,UK,AU,MX,
Icons,-,11384,Golden Retriever Puppy,18+,2098,"Dec 31, 2028",US,CA,UK,AU,MX,
Ideas,Dungeons & Dragons,21348,Dungeons & Dragons: Red Dragon's Tale,18+,3745,"Jul 31, 2026",US,CA,UK,AU,MX,
Ideas,Diorama Collection,21350,Jaws,18+,1497,"Jul 31, 2026",US,CA,UK,AU,MX,
Ideas,Disney,21352,Magic of Disney,18+,1103,"Jul 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Target
Ideas,- ,21323,Grand Piano,18+,3662,"Dec 31, 2026",US,CA,UK,AU,MX,
Ideas,- ,21333,Vincent van Gogh - The Starry Night,18+,2316,"Dec 31, 2026",US,CA,UK,AU,MX,
Ideas,-,21345,Polaroid OneStep SX-70 Camera,18+,516,"Dec 31, 2026",US,CA,UK,AU,MX,
Ideas,Disney,21351,Tim Burton's The Nightmare Before Christmas,18+,2193,"Dec 31, 2026",US,CA,UK,AU,MX,
Ideas,-,21353,The Botanical Garden,18+,3792,"Dec 31, 2026",US,CA,UK,AU,MX,
Ideas,-,21355,The Evolution of STEM,18+,879,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Target
Ideas,-,21356,River Steamboat,18+,4090,"Dec 31, 2026",US,CA,UK,AU,MX,
Ideas,-,21360,Willy Wonka & the Chocolate Factory,18+,2025,"Dec 31, 2026",US,CA,UK,AU,MX,
Ideas,-,21354,Twilight: The Cullen House,18+,2001,"Jul 31, 2027",US,CA,UK,AU,MX,
Ideas,-,21349,Tuxedo Cat,18+,1710,"Dec 31, 2027",US,CA,UK,AU,MX,
Ideas,Disney,21357,Disney Pixar Luxo Jr.,18+,613,"Dec 31, 2027",US,CA,UK,AU,MX,
Ideas,- ,21358,Minifigure Vending Machine,18+,1343,"Dec 31, 2027",US,CA,UK,AU,MX,
Ideas,-,21359,The Italian Riviera,18+,3251,"Dec 31, 2027",US,CA,UK,AU,MX,
Ideas,-,21361,Gremlins: Gizmo,18+,1135,"Dec 31, 2027",US,CA,UK,AU,MX,(US) Exclusive to Target
Ideas,-,21362,Mineral Collection,18+,880,"Dec 31, 2027",US,CA,UK,AU,MX,
Ideas,-,21363,The Goonies,18+,2912,"Dec 31, 2027",US,CA,UK,AU,MX,
Ideas,- ,21330,Home Alone,18+,3955,"Dec 31, 2028",US,CA,UK,AU,MX,
Ideas,Holiday,21365,Love Birds,18+,,"Dec 31, 2028",US,CA,UK,AU,MX,(NA) Exclusive to [TBD]
Ideas,- ,21366,Floating Sea Otters,18+,1234,"Dec 31, 2028",US,CA,UK,AU,MX,
Ideas,- ,21367,Tintin Moon Rocket,18+,1283,"Dec 31, 2028",US,CA,UK,AU,MX,
Ideas,- ,21368,Peanuts: Snoopy's Doghouse,18+,964,"Dec 31, 2028",US,CA,UK,AU,MX,
Ideas,-,21376,Orange Cat,18+,1755,"Dec 31, 2028",US,CA,UK,AU,MX,
Jurassic,World,76967,Little Eatie: T. rex,7+,317,"Jul 31, 2026",US,CA,UK,AU,MX,
Jurassic,World,76970,Baby Dinosaur Dolores: Aquilops,7+,339,"Jul 31, 2026",US,CA,UK,AU,MX,
Jurassic,World,76973,Raptor & Titanosaurus Tracking Mission,7+,582,"Jul 31, 2026",US,CA,UK,AU,MX,
Jurassic,Dinosaur Fossils,76969,Dinosaur Fossils: Triceratops Skull,9+,468,"Dec 31, 2026",US,CA,UK,AU,MX,
Jurassic,World,76972,Raptor Off-Road Escape,6+,285,"Dec 31, 2026",US,CA,UK,AU,MX,
Jurassic,World,76974,Brick-Built Mosasaurus Boat Mission,9+,858,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Walmart
Jurassic,Dinosaur Fossils,76968,Dinosaur Fossils: Tyrannosaurus rex,18+,3145,"Jul 31, 2027",US,CA,UK,AU,MX,
Jurassic,World,76975,T. rex River Escape,5+,199,"Jul 31, 2027",US,CA,UK,AU,MX,
Jurassic,World,77981,"Velociraptor, Stegosaurus & Pteranodon Rescue",4+,171,"Jul 31, 2027",US,CA,UK,AU,MX,
Jurassic,World,76976,Spinosaurus & Quetzalcoatlus Air Mission,8+,984,"Dec 31, 2027",US,CA,UK,AU,MX,
Jurassic,World,77977,Baby Dinosaur: Pteranodon,,373,"Dec 31, 2027",US,CA,UK,AU,MX,
Jurassic,World,77978,Young T. rex Transport Truck,4+,115,"Dec 31, 2027",US,CA,UK,AU,MX,
Jurassic,World,77982,Spinosaurus Dinosaur Escape,,820,"Dec 31, 2027",US,CA,UK,AU,MX,
Jurassic,World,77983,Mosasaurus Dinosaur Boat Attack,,703,"Dec 31, 2027",US,CA,UK,AU,MX,
Jurassic,Park,77984,Jurassic Park Jeep Wrangler,18+,1924,"Dec 31, 2027",US,CA,UK,AU,MX,
Jurassic,Dinosaur Fossils,77985,Dinosaur Fossils: Triceratops,18+,1154,"Dec 31, 2027",US,CA,UK,AU,MX,
Mario,- ,71426,Piranha Plant,18+,540,"Jul 31, 2026",US,CA,UK,AU,MX,
Mario,- ,71438,Super Mario World: Mario & Yoshi,18+,1215,"Jul 31, 2026",US,CA,UK,AU,MX,
Mario,-,71439,Adventures with Interactive LEGO® Mario™,6+,218,"Jul 31, 2026",US,CA,UK,AU,MX,
Mario,Kart,72031,Yoshi Bike,7+,133,"Jul 31, 2026",US,CA,UK,AU,MX,
Mario,Kart,72032,Standard Kart,7+,174,"Jul 31, 2026",US,CA,UK,AU,MX,
Mario,Kart,72034,Baby Mario vs. Baby Luigi,8+,321,"Jul 31, 2026",US,CA,UK,AU,MX,
Mario,Kart,72035,Toad's Garage ,8+,390,"Jul 31, 2026",US,CA,UK,AU,MX,
Mario,Kart,72036,Baby Peach & Grand Prix Set,8+,823,"Jul 31, 2026",US,CA,UK,AU,MX,
Mario,Kart,72038,Wario & King Boo,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Mario,Kart,72039,Bowser's Castle,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Mario,-,72040,Captain Toad's Camp,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Mario,-,72041,Party at Toad's House,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Mario,-,72042,Prince Florian & Castle Bowser,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Mario,Kart,72044,Piranha Plant Power-Up Pursuit,8+,588,"Jul 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Target
Mario,-,71440,Adventures with Interactive LEGO® Luigi™,6+,210,"Dec 31, 2026",US,CA,UK,AU,MX,
Mario,-,71441,Adventures with Interactive LEGO® Peach™,6+,208,"Dec 31, 2026",US,CA,UK,AU,MX,
Mario,Kart,72043,Interactive LEGO Mario & Standard Kart,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Mario,Kart,72045,Shy Guy & P-Wing,7+,249,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Target
Mario,Kart,72037,Mario Kart™ – Mario & Standard Kart,18+,1972,"Jul 31, 2027",US,CA,UK,AU,MX,
Mario,Kart,72050,Mario Kart – Luigi & Mach 8,18+,2234,"Dec 31, 2027",US,CA,UK,AU,MX,
Mario,-,72046,Game Boy,18+,421,"Dec 31, 2028",US,CA,UK,AU,MX,
Marvel,-,76297,Dancing Groot,10+,459,"Jul 31, 2026",US,CA,UK,AU,MX,
Marvel,Spiderverse,76311,Miles Morales vs. the Spot,9+,375,"Jul 31, 2026",US,CA,UK,AU,MX,
Marvel,-,76312,The Hulk Truck vs. Thanos,7+,229,"Jul 31, 2026",US,CA,UK,AU,MX,
Marvel,-,76314,Captain America: Civil War Battle,10+,736,"Jul 31, 2026",US,CA,UK,AU,MX,
Marvel,Spidey,11198,Spin and Electro Dinosaur Vehicle Chase,4+,124,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,Spidey,11200,Spidey and Gobby's Raptor Battle at Tree House HQ,4+,143,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,Spidey,11207,Spidey: Underwater Vehicles,4+,154,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,-,30725,Spider-Man vs. Anti-Venom Heist (Polybag),7+,31,"Dec 31, 2026",n/a,n/a,n/a,n/a,n/a,
Marvel,Modular Building,76294,X-Men: The X-Mansion,18+,3093,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,Character Mech,76307,Iron Man Mech vs. Ultron,6+,101,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,Character Mech,76308,Spider-Man Mech vs. Anti-Venom,6+,107,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,-,76309,Spider-Man vs. Venom Muscle Car,7+,254,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,Logo,76313,MARVEL Logo,12+,931,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,-,76315,Iron Man's Laboratory: Hall of Armor,8+,384,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,- ,76316,Fantastic Four vs. Galactus Construction Figure,9+,427,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,-,76317,Peter Parker's Apartment,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,-,76319,Captain America vs. Thanos,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,-,76320,Iron Man & War Machine vs. Hammer Drones,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,-,76321,Spider-Man vs. Doc Ock Subway Train Scene,9+,393,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,-,76322,Avengers: Endgame Thor vs. Chitauri,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,-,76323,Avengers: Endgame Final Battle,10+,621,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,-,76324,Spider-Man vs. Oscorp,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,-,76325,Avengers: Age of Ultron Quinjet,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,Bust,76326,Iron Spider-Man Bust,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,Bust,76327,Iron Man MK4 Bust,18+,436,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,Helmet Collection,76329,Miles Morales' Mask,18+,487,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Walmart exclusive
Marvel,Holiday,76340,LEGO Marvel Advent Calendar 2026,,317,"Dec 31, 2026",US,CA,UK,AU,MX,
Marvel,Spidey,11208,Team Spidey Pirate Ship,4+,201,"Jul 31, 2027",US,CA,UK,AU,MX,
Marvel,-,76336,Spider-Man Car vs. Venomized Wolverine,7+,134,"Jul 31, 2027",US,CA,UK,AU,MX,
Marvel,Character Mech,76337,Miles Morales Mech vs. Spider-Man 2099,6+,135,"Jul 31, 2027",US,CA,UK,AU,MX,
Marvel,Character Mech,76338,Mech Battle: Spider-Man vs. Doc Ock,6+,315,"Jul 31, 2027",US,CA,UK,AU,MX,
Marvel,-,76342,Spider-Man vs. Mysterio: The Daily Bugle,10+,781,"Jul 31, 2027",US,CA,UK,AU,MX,
Marvel,-,76343,Epic Battle: Hulkbuster vs. The Hulk,9+,413,"Jul 31, 2027",US,CA,UK,AU,MX,
Marvel,Spidey,11209,Ultron vs. Iron Man,4+,96,"Jul 31, 2027",US,CA,UK,AU,MX,
Marvel,Spidey,11211,Loki vs. Team Iron Man,4+,204,"Jul 31, 2027",US,CA,UK,AU,MX,
Marvel,-,76334,Epic Battle: Spider-Man vs. Sandman,9+,201,"Dec 31, 2027",US,CA,UK,AU,MX,
Marvel,-,76335,Spider-Man vs. Ghost Rider Motorcycle,6+,72,"Dec 31, 2027",US,CA,UK,AU,MX,
Marvel,Buildable Figure,76341,Ravager Jumpsuit Groot,10+,604,"Dec 31, 2027",US,CA,UK,AU,MX,
Marvel,Buildable Figure,76344,Iron Man Mark 3 Collectors' Edition,18+,1297,"Dec 31, 2027",US,CA,UK,AU,MX,
Marvel,Ultimate Collector Series,76354,S.H.I.E.L.D. Helicarrier,18+,3057,"Dec 31, 2027",US,CA,UK,AU,MX,
Marvel,Buildable Figure,76339,The Fantastic Four H.E.R.B.I.E.,,747,"Dec 31, 2027",US,CA,UK,AU,MX,
Marvel,Buildable Figure,76346,Spider-Man Hero Figure,,813,"Dec 31, 2027",US,CA,UK,AU,MX,
Marvel,-,76349,Spider-Man Prison Transport Chase,,367,"Dec 31, 2027",US,CA,UK,AU,MX,
Marvel,-,76350,Spider-Man vs. Hulk Epic Clash,,534,"Dec 31, 2027",US,CA,UK,AU,MX,
Marvel,Bust,76356,Venom Bust,18+,413,"Dec 31, 2027",US,CA,UK,AU,MX,
Marvel,Modular Building,76269,Avenger's Tower,18+,5201,"Dec 31, 2028",US,CA,UK,AU,MX,
Marvel,Spidey,11206,Spidey on his Motorcycle vs. Rhino,4+,61,"Dec 31, 2030",US,CA,UK,AU,MX,
Minecraft,-,21271,The Trial Chamber,8+,322,"Jul 31, 2026",US,CA,UK,AU,MX,
Minecraft,-,21266,The Nether Lava Battle,6+,99,"Dec 31, 2026",US,CA,UK,AU,MX,
Minecraft,-,21267,The Illager Desert Patrol,7+,105,"Dec 31, 2026",US,CA,UK,AU,MX,
Minecraft,-,21268,The Baby Pig House,7+,238,"Dec 31, 2026",US,CA,UK,AU,MX,
Minecraft,-,21269,The Armadillo Mine Expedition,8+,247,"Dec 31, 2026",US,CA,UK,AU,MX,
Minecraft,-,21270,The Mooshroom House,8+,500,"Dec 31, 2026",US,CA,UK,AU,MX,
Minecraft,Movie,21272,Woodland Mansion Fighting Ring,10+,491,"Dec 31, 2026",US,CA,UK,AU,MX,
Minecraft,Movie,21273,The Ghast Balloon Village Attack,10+,555,"Dec 31, 2026",US,CA,UK,AU,MX,
Minecraft,-,21274,The Warden Encounter,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Minecraft,-,21275,The TNT Jungle House,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Minecraft,-,21277,The Pickaxe Mine,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Minecraft,-,21278,The Pillager Outpost and Ravager,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Minecraft,-,21279,The Enderman Tower,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Minecraft,-,21282,The Parrot Houses,8+,535,"Dec 31, 2026",US,CA,UK,AU,MX,(US) Exclusive to Amazon
Minecraft,-,21584,Nether & End Portal Journey,7+,192,"Dec 31, 2026",US,CA,UK,AU,MX,
Minecraft,-,30732,Alex's Campfire Conflict (Polybag),6+,31,"Dec 31, 2026",n/a,n/a,n/a,n/a,n/a,
Minecraft,-,21587,Zombie Dungeon,8+,284,"Jul 31, 2027",US,CA,UK,AU,MX,
Minecraft,Microscale,21589,Mini Biomes,12+,797,"Jul 31, 2027",US,CA,UK,AU,MX,
Minecraft,-,21591,The Twisted Warden Battle,,438,"Jul 31, 2027",US,CA,UK,AU,MX,
Minecraft,-,21592,Chicken Jockey Desert Attack,,428,"Jul 31, 2027",US,CA,UK,AU,MX,
Minecraft,Buildable Figure,21276,The Creeper,10+,665,"Dec 31, 2027",US,CA,UK,AU,MX,
Minecraft,-,21583,Steve's Taiga Adventure,6+,79,"Dec 31, 2027",US,CA,UK,AU,MX,
Minecraft,-,21585,Chicken Farm,7+,233,"Dec 31, 2027",US,CA,UK,AU,MX,
Minecraft,-,21586,The Pale Garden,7+,243,"Dec 31, 2027",US,CA,UK,AU,MX,
Minecraft,Buildable Figure,21588,The Fox,10+,497,"Dec 31, 2027",US,CA,UK,AU,MX,
Minecraft,-,21590,Wither Battle,8+,494,"Dec 31, 2027",US,CA,UK,AU,MX,
Minecraft,-,21593,First Night Adventure,,301,"Dec 31, 2027",US,CA,UK,AU,MX,
Minecraft,-,21594,The Skeleton,,502,"Dec 31, 2027",US,CA,UK,AU,MX,
Minecraft,-,21595,The Ender Dragon,,710,"Dec 31, 2027",US,CA,UK,AU,MX,
Minecraft,-,21596,Evoker Village Attack,,607,"Dec 31, 2027",US,CA,UK,AU,MX,
Minecraft,-,21597,Ghast Station,,754,"Dec 31, 2027",US,CA,UK,AU,MX,
Minecraft,-,21598,Underwater Adventure,,310,"Dec 31, 2027",US,CA,UK,AU,MX,
Minecraft,-,21582,Chicken Jockey,,344,"Jul 31, 2028",US,CA,UK,AU,MX,
Minifigures,-,66814,Series 29,6+,8,"Aug 31, 2026",US,CA,UK,AU,MX,
Minifigures,-,71052,Series 29 6 Pack,6+,51,"Aug 31, 2026",US,CA,UK,AU,MX,
Miscellaneous,Multipack,66817,Hearts & Flowers Gift Set ,,,"Jul 31, 2026",US,CA,UK,AU,MX,"(US) Exclusive to Walmart | Contains 40460, 40638, 40821"
Miscellaneous,- ,40179,Personalised Mosaic Portrait,10+,4702,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,LEGO House,40504,A Minifigure Tribute,10+,1041,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to the LEGO House
Miscellaneous,Holiday,40743,Christmas Table Decoration,12+,433,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,-,40805,Arcade Machine,12+,468,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,-,40807,Birthday Numbers,6+,281,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,Holiday,40808,Easter Bunny And Chick Egg Hunt,8+,140,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,Holiday,40812,Snowman Ornaments,6+,168,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,-,40814,Baby Elephant in the Sky,,,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,-,40815,Birthday Party Cake,,,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,Holiday,40816,Decorative Easter Egg,9+,386,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,Upscaled Minifig,40819,Up-Scaled Racing Driver Minifigure,10+,694,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,Holiday,40822,Jack-O'-Lantern Pickup Truck,8+,177,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,Looney Toons,40824,Sweetheart Tweety Bird,12+,412,"Dec 31, 2026",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,- ,40955,Maersk Dual-Fuel Container Vessel,12+,1516,"Dec 31, 2026",US,CA,UK,AU,MX,
Miscellaneous,Holiday,80118,Fortune Firecracker,9+,1039,"Dec 31, 2026",US,CA,UK,AU,MX,
Miscellaneous,Holiday,80119,Galloping Horse Canvas,10+,1650,"Dec 31, 2026",US,CA,UK,AU,MX,
Miscellaneous,LEGO House,40296,LEGO House Build Your Meal Brick Bag,4+,19,"Jul 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to the LEGO House
Miscellaneous,LEGO House,40790,LEGO House Chef (Polybag),4+,6,"Jul 31, 2027",n/a,n/a,n/a,n/a,n/a,(WW) Exclusive to the LEGO House
Miscellaneous,LEGO House,40501,The Wooden Duck,10+,621,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to the LEGO House
Miscellaneous,-,40528,LEGO Brand Retail Store,10+,402,"Dec 31, 2027",US,CA,UK,AU,MX,(Promo set)
Miscellaneous,Holiday,40638,Heart Ornament,9+,254,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,Upscaled Minifig,40649,Up-Scaled LEGO Minifigure,10+,654,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,Holiday,40809,Festive Gingerbread House,10+,498,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,Holiday,40811,Altar of the Dead,9+,231,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,Holiday,40813,Lucky Cat,9+,280,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,-,40817,Yellow Travel Suitcase,7+,184,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO        
Miscellaneous,Upscaled Minifig,40820,Up-Scaled Santa Minifigure,10+,761,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,Holiday,40825,Halloween Wreath,12+,617,"Dec 31, 2027",US,CA,UK,AU,MX,(WW) Exclusive to LEGO
Miscellaneous,Holiday,40864,Fortune Master,9+,,"Dec 31, 2027",US,CA,UK,AU,MX,
Miscellaneous,Upscaled Minifig,40921,Up-Scaled Blue Astronaut Minifigure,18+,587,"Dec 31, 2027",US,CA,UK,AU,MX,
Miscellaneous,Holiday,80120,Prosperity Carp Leaping,,736,"Dec 31, 2027",US,CA,UK,AU,MX,
Miscellaneous,Holiday,80121,Ancient Moon-Gazing Inn,,1530,"Dec 31, 2027",US,CA,UK,AU,MX,
Miscellaneous,LEGO House,40297,LEGO House 6 DUPLO Bricks,1½+,6,"Dec 31, 2028",US,CA,UK,AU,MX,(WW) Exclusive to the LEGO House
